Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
packwisely_setting_show_compat_manual_radial,ui,UI,,x,Show manual compat items in radial,,Manuelle Kompatibilitätsgegenstände im Radialmenü anzeigen,Mostrar objetos manuales compatibles en el radial,Afficher les objets manuels compatibles dans le radial,Mostra oggetti compat manuali nel radiale,手動互換アイテムをラジアルに表示,수동 호환 아이템을 방사형 메뉴에 표시,Pokaż ręczne wpisy zgodności w menu,Mostrar itens manuais compatíveis no radial,Показывать ручные совместимые предметы в круговом меню,Elle kullanılan uyumluluk eşyalarını dairesel menüde göster,在环形菜单显示手动兼容物品,在環形選單顯示手動相容物品
packwisely_setting_show_compat_manual_radial_tt,ui,UI,,x,Shows compat XML medical items in the radial even when they are manual-use only.,,"Zeigt medizinische XML-Kompatibilitätsgegenstände im Radialmenü, auch wenn sie nur manuell nutzbar sind.",Muestra objetos médicos XML en el radial aunque sean solo de uso manual.,Affiche les objets médicaux XML dans le radial même s’ils sont manuels seulement.,Mostra nel radiale oggetti medici XML anche se solo manuali.,手動使用専用でも互換XML医療アイテムをラジアルに表示する。,수동 사용 전용이라도 호환 XML 의료 아이템을 방사형 메뉴에 표시합니다.,"Pokazuje medyczne wpisy XML w menu, nawet gdy są tylko ręczne.",Mostra itens médicos XML no radial mesmo quando são apenas manuais.,"Показывает медицинские XML-предметы в круговом меню, даже если они только ручные.",Sadece elle kullanılan uyumluluk XML tıbbi eşyalarını dairesel menüde gösterir.,即使只能手动使用，也在环形菜单显示兼容 XML 医疗物品。,即使只能手動使用，也在環形選單顯示相容 XML 醫療物品。
packwisely_setting_compat_status,ui,UI,,x,Compatibility status,,Kompatibilitätsstatus,Estado de compatibilidad,État de compatibilité,Stato compatibilità,互換性ステータス,호환성 상태,Stan zgodności,Status de compatibilidade,Состояние совместимости,Uyumluluk durumu,兼容状态,相容狀態
packwisely_setting_compat_status_tt,ui,UI,,x,Read-only summary of whether Packwisely found active medical compatibility XML entries.,,"Schreibgeschützte Übersicht, ob Packwisely aktive medizinische XML-Einträge gefunden hat.",Resumen de solo lectura de si Packwisely encontró entradas XML médicas activas.,Résumé en lecture seule indiquant si Packwisely a trouvé des entrées XML médicales actives.,Riepilogo sola lettura degli XML medici attivi trovati da Packwisely.,Packwiselyが有効な医療互換XML項目を見つけたかの読み取り専用概要。,Packwisely가 활성 의료 호환 XML 항목을 찾았는지 보여주는 읽기 전용 요약입니다.,Tylko do odczytu: czy Packwisely znalazł aktywne medyczne wpisy XML.,Resumo somente leitura se o Packwisely encontrou entradas XML médicas ativas.,Обзор только для чтения: нашёл ли Packwisely активные медицинские XML-записи.,Packwisely’nin aktif tıbbi uyumluluk XML girişleri bulup bulmadığını gösteren salt okunur özet.,只读摘要：Packwisely 是否找到有效医疗兼容 XML 条目。,唯讀摘要：Packwisely 是否找到有效醫療相容 XML 項目。
packwisely_setting_compat_summary,ui,UI,,x,Compatibility summary,,Kompatibilitätsübersicht,Resumen de compatibilidad,Résumé de compatibilité,Riepilogo compatibilità,互換性概要,호환성 요약,Podsumowanie zgodności,Resumo de compatibilidade,Сводка совместимости,Uyumluluk özeti,兼容摘要,相容摘要
packwisely_setting_compat_summary_tt,ui,UI,,x,"Read-only counts for loaded compatibility files, entries, rules, categories, and Smart-Q entries.",,"Schreibgeschützte Zähler für geladene Dateien, Einträge, Regeln, Kategorien und Smart-Q-Einträge.","Conteos de solo lectura de archivos, entradas, reglas, categorías y entradas Smart-Q cargadas.","Compteurs en lecture seule des fichiers, entrées, règles, catégories et entrées Smart-Q chargés.","Conteggi sola lettura per file, voci, regole, categorie e voci Smart-Q caricate.",読み込まれたファイル、項目、ルール、カテゴリ、Smart-Q項目の読み取り専用カウント。,"불러온 파일, 항목, 규칙, 범주, Smart-Q 항목의 읽기 전용 수치입니다.","Tylko do odczytu: liczby plików, wpisów, reguł, kategorii i wpisów Smart-Q.","Contagens somente leitura de arquivos, entradas, regras, categorias e entradas Smart-Q carregadas.","Счётчики только для чтения: файлы, записи, правила, категории и записи Smart-Q.","Yüklenen uyumluluk dosyaları, girişler, kurallar, kategoriler ve Smart-Q girişleri için salt okunur sayılar.",已加载文件、条目、规则、类别和 Smart-Q 条目的只读计数。,已載入檔案、項目、規則、類別和 Smart-Q 項目的唯讀計數。
packwisely_setting_compat_sources,ui,UI,,x,Compatibility sources,,Kompatibilitätsquellen,Fuentes de compatibilidad,Sources de compatibilité,Fonti compatibilità,互換性ソース,호환성 원본,Źródła zgodności,Fontes de compatibilidade,Источники совместимости,Uyumluluk kaynakları,兼容来源,相容來源
packwisely_setting_compat_sources_tt,ui,UI,,x,Read-only list of detected compatibility patch source names.,,Schreibgeschützte Liste der erkannten Kompatibilitätspatch-Quellen.,Lista de solo lectura de fuentes de parches de compatibilidad detectadas.,Liste en lecture seule des sources de correctifs de compatibilité détectées.,Elenco sola lettura delle fonti patch compatibilità rilevate.,検出された互換パッチソース名の読み取り専用リスト。,감지된 호환 패치 원본 이름의 읽기 전용 목록입니다.,Tylko do odczytu: lista wykrytych źródeł łatek zgodności.,Lista somente leitura das fontes de patches de compatibilidade detectadas.,Список только для чтения обнаруженных источников патчей совместимости.,Algılanan uyumluluk yaması kaynak adlarının salt okunur listesi.,检测到的兼容补丁来源名称只读列表。,偵測到的相容補丁來源名稱唯讀清單。
packwisely_compat_xml_disabled,ui,UI,,x,Compatibility XML disabled,,Kompatibilitäts-XML deaktiviert,XML de compatibilidad desactivado,XML de compatibilité désactivé,XML compatibilità disattivato,互換XMLは無効,호환 XML 비활성화됨,XML zgodności wyłączony,XML de compatibilidade desativado,XML совместимости отключён,Uyumluluk XML kapalı,兼容 XML 已禁用,相容 XML 已停用
packwisely_compat_xml_detected,ui,UI,,x,Compatibility XML detected,,Kompatibilitäts-XML erkannt,XML de compatibilidad detectado,XML de compatibilité détecté,XML compatibilità rilevato,互換XMLを検出,호환 XML 감지됨,Wykryto XML zgodności,XML de compatibilidade detectado,XML совместимости обнаружен,Uyumluluk XML bulundu,已检测到兼容 XML,已偵測到相容 XML
packwisely_compat_xml_not_detected,ui,UI,,x,No compatibility XML detected,,Kein Kompatibilitäts-XML erkannt,No se detectó XML de compatibilidad,Aucun XML de compatibilité détecté,Nessun XML compatibilità rilevato,互換XMLは未検出,감지된 호환 XML 없음,Nie wykryto XML zgodności,Nenhum XML de compatibilidade detectado,XML совместимости не обнаружен,Uyumluluk XML bulunmadı,未检测到兼容 XML,未偵測到相容 XML
packwisely_compat_xml_summary_empty,ui,UI,,x,0 files / 0 entries,,0 Dateien / 0 Einträge,0 archivos / 0 entradas,0 fichier / 0 entrée,0 file / 0 voci,0ファイル / 0項目,파일 0개 / 항목 0개,0 plików / 0 wpisów,0 arquivos / 0 entradas,0 файлов / 0 записей,0 dosya / 0 giriş,0 个文件 / 0 个条目,0 個檔案 / 0 個項目
packwisely_compat_xml_summary_format,ui,UI,,x,"{0} file(s), {1} item(s), {2} rule(s), {3} category(s), {4} Smart-Q",,"{0} Datei(en), {1} Gegenstand/Gegenstände, {2} Regel(n), {3} Kategorie(n), {4} Smart-Q","{0} archivo(s), {1} objeto(s), {2} regla(s), {3} categoría(s), {4} Smart-Q","{0} fichier(s), {1} objet(s), {2} règle(s), {3} catégorie(s), {4} Smart-Q","{0} file, {1} oggetti, {2} regole, {3} categorie, {4} Smart-Q",{0}ファイル、{1}アイテム、{2}ルール、{3}カテゴリ、Smart-Q {4},"파일 {0}개, 아이템 {1}개, 규칙 {2}개, 범주 {3}개, Smart-Q {4}개","{0} plik(i), {1} przedmiot(y), {2} reguł(y), {3} kategori(e), {4} Smart-Q","{0} arquivo(s), {1} item(ns), {2} regra(s), {3} categoria(s), {4} Smart-Q","{0} файл(ов), {1} предмет(ов), {2} правил(а), {3} категорий, {4} Smart-Q","{0} dosya, {1} eşya, {2} kural, {3} kategori, {4} Smart-Q",{0} 个文件，{1} 个物品，{2} 条规则，{3} 个类别，{4} 个 Smart-Q,{0} 個檔案，{1} 個物品，{2} 條規則，{3} 個類別，{4} 個 Smart-Q
packwisely_compat_sources_none,ui,UI,,x,None,,Keine,Ninguna,Aucune,Nessuna,なし,없음,Brak,Nenhuma,Нет,Yok,无,無

# ==================================================================================================
# OTHER MOD COMPATIBILITY STATUS
# Read only Gears status rows and runtime text for known optional mod compatibility.
# These are not gameplay strings but they help users confirm detected UI and reload bridges.
# ==================================================================================================
packwisely_settings_other_mods_compatibility,ui,UI,,x,Other Mods Compatibility,,Kompatibilität mit anderen Mods,Compatibilidad con otros mods,Compatibilité avec d’autres mods,Compatibilità con altri mod,他Modとの互換性,다른 모드 호환성,Zgodność z innymi modami,Compatibilidade com outros mods,Совместимость с другими модами,Diğer Mod Uyumlulukları,其他模组兼容性,其他模組相容性
packwisely_settings_other_mods_compatibility_tt,ui,UI,,x,Built-in compatibility shims detected by Packwisely.,,Von Packwisely erkannte integrierte Kompatibilitätsanpassungen.,Ajustes de compatibilidad integrados detectados por Packwisely.,Correctifs de compatibilité intégrés détectés par Packwisely.,Adattamenti di compatibilità integrati rilevati da Packwisely.,Packwisely が検出した内蔵互換処理。,Packwisely가 감지한 내장 호환성 처리입니다.,Wbudowane poprawki zgodności wykryte przez Packwisely.,Ajustes internos de compatibilidade detectados pelo Packwisely.,"Встроенные исправления совместимости, обнаруженные Packwisely.",Packwisely tarafından algılanan dahili uyumluluk düzeltmeleri.,Packwisely 检测到的内置兼容修正。,Packwisely 偵測到的內建相容性修正。
packwisely_setting_reloadfix_compat,ui,UI,,x,ReloadFix compatibility,,ReloadFix-Kompatibilität,Compatibilidad con ReloadFix,Compatibilité ReloadFix,Compatibilità ReloadFix,ReloadFix 互換性,ReloadFix 호환성,Zgodność z ReloadFix,Compatibilidade com ReloadFix,Совместимость с ReloadFix,ReloadFix uyumluluğu,ReloadFix 兼容性,ReloadFix 相容性
packwisely_setting_reloadfix_compat_tt,ui,UI,,x,Shows whether Packwisely detected ReloadFix and enabled its Ammo Pouch reload compatibility shim.,,"Zeigt, ob Packwisely ReloadFix erkannt und die Ammo-Pouch-Nachlade-Kompatibilität aktiviert hat.",Muestra si Packwisely detectó ReloadFix y activó la compatibilidad de recarga desde la bolsa de munición.,Indique si Packwisely a détecté ReloadFix et activé la compatibilité de rechargement depuis la poche de munitions.,Mostra se Packwisely ha rilevato ReloadFix e attivato la compatibilità di ricarica dalla tasca munizioni.,Packwisely が ReloadFix を検出し、弾薬ポーチのリロード互換処理を有効化したかを表示します。,Packwisely가 ReloadFix를 감지하고 탄약 파우치 재장전 호환 처리를 켰는지 표시합니다.,"Pokazuje, czy Packwisely wykrył ReloadFix i włączył zgodność przeładowania z zasobnika amunicji.",Mostra se o Packwisely detectou o ReloadFix e ativou a compatibilidade de recarga da bolsa de munição.,"Показывает, обнаружил ли Packwisely ReloadFix и включил совместимость перезарядки из подсумка боеприпасов.",Packwisely’nin ReloadFix’i algılayıp Cephane Cebi yeniden doldurma uyumluluğunu açıp açmadığını gösterir.,显示 Packwisely 是否检测到 ReloadFix 并启用弹药包换弹兼容。,顯示 Packwisely 是否偵測到 ReloadFix 並啟用彈藥包裝填相容。
packwisely_known_compat_reloadfix_on,ui,UI,,x,ReloadFix detected — compatibility on,,ReloadFix erkannt — Kompatibilität aktiv,ReloadFix detectado — compatibilidad activa,ReloadFix détecté — compatibilité active,ReloadFix rilevato — compatibilità attiva,ReloadFix 検出 — 互換性オン,ReloadFix 감지 — 호환성 켜짐,Wykryto ReloadFix — zgodność włączona,ReloadFix detectado — compatibilidade ativa,ReloadFix обнаружен — совместимость включена,ReloadFix algılandı — uyumluluk açık,检测到 ReloadFix — 兼容已开启,偵測到 ReloadFix — 相容性已開啟
packwisely_known_compat_reloadfix_off,ui,UI,,x,ReloadFix: not detected,,ReloadFix: nicht erkannt,ReloadFix: no detectado,ReloadFix : non détecté,ReloadFix: non rilevato,ReloadFix: 未検出,ReloadFix: 감지 안 됨,ReloadFix: nie wykryto,ReloadFix: não detectado,ReloadFix: не обнаружен,ReloadFix: algılanmadı,ReloadFix：未检测到,ReloadFix：未偵測到
packwisely_setting_farmlife_compat,ui,UI,,x,FarmLife compatibility,,FarmLife-Kompatibilität,Compatibilidad con FarmLife,Compatibilité FarmLife,Compatibilità FarmLife,FarmLife 互換性,FarmLife 호환성,Zgodność z FarmLife,Compatibilidade com FarmLife,Совместимость с FarmLife,FarmLife uyumluluğu,FarmLife 兼容性,FarmLife 相容性
packwisely_setting_farmlife_compat_tt,ui,UI,,x,Shows whether Packwisely detected FarmLife and moved pouch buttons to a safer backpack UI position.,,"Zeigt, ob Packwisely FarmLife erkannt und die Taschenknöpfe an eine sichere Inventarposition verschoben hat.",Muestra si Packwisely detectó FarmLife y movió los botones de bolsa a una posición más segura.,Indique si Packwisely a détecté FarmLife et déplacé les boutons de poche vers une position plus sûre.,Mostra se Packwisely ha rilevato FarmLife e spostato i pulsanti delle tasche in una posizione più sicura.,Packwisely が FarmLife を検出し、ポーチボタンを安全なバックパックUI位置へ移動したかを表示します。,Packwisely가 FarmLife를 감지하고 파우치 버튼을 더 안전한 배낭 UI 위치로 옮겼는지 표시합니다.,"Pokazuje, czy Packwisely wykrył FarmLife i przeniósł przyciski zasobników w bezpieczniejsze miejsce UI.",Mostra se o Packwisely detectou o FarmLife e moveu os botões das bolsas para uma posição mais segura.,"Показывает, обнаружил ли Packwisely FarmLife и переместил кнопки подсумков в более безопасное место интерфейса.",Packwisely’nin FarmLife’ı algılayıp cep düğmelerini güvenli bir çanta arayüzü konumuna taşıyıp taşımadığını gösterir.,显示 Packwisely 是否检测到 FarmLife 并将口袋按钮移动到更安全的位置。,顯示 Packwisely 是否偵測到 FarmLife 並將口袋按鈕移到更安全的位置。
packwisely_known_compat_farmlife_on,ui,UI,,x,FarmLife detected — backpack UI compatibility on,,FarmLife erkannt — Inventar-UI-Kompatibilität aktiv,FarmLife detectado — compatibilidad de interfaz de mochila activa,FarmLife détecté — compatibilité UI du sac active,FarmLife rilevato — compatibilità UI zaino attiva,FarmLife 検出 — バックパックUI互換性オン,FarmLife 감지 — 배낭 UI 호환성 켜짐,Wykryto FarmLife — zgodność UI plecaka włączona,FarmLife detectado — compatibilidade da interface da mochila ativa,FarmLife обнаружен — совместимость интерфейса рюкзака включена,FarmLife algılandı — çanta arayüzü uyumluluğu açık,检测到 FarmLife — 背包界面兼容已开启,偵測到 FarmLife — 背包介面相容性已開啟
packwisely_known_compat_farmlife_off,ui,UI,,x,FarmLife: not detected,,FarmLife: nicht erkannt,FarmLife: no detectado,FarmLife : non détecté,FarmLife: non rilevato,FarmLife: 未検出,FarmLife: 감지 안 됨,FarmLife: nie wykryto,FarmLife: não detectado,FarmLife: не обнаружен,FarmLife: algılanmadı,FarmLife：未检测到,FarmLife：未偵測到
packwisely_setting_nhx_compat,ui,UI,,x,NHX BagsAndBackpacks compatibility,,NHX BagsAndBackpacks-Kompatibilität,Compatibilidad con NHX BagsAndBackpacks,Compatibilité NHX BagsAndBackpacks,Compatibilità NHX BagsAndBackpacks,NHX BagsAndBackpacks 互換性,NHX BagsAndBackpacks 호환성,Zgodność z NHX BagsAndBackpacks,Compatibilidade com NHX BagsAndBackpacks,Совместимость с NHX BagsAndBackpacks,NHX BagsAndBackpacks uyumluluğu,NHX BagsAndBackpacks 兼容性,NHX BagsAndBackpacks 相容性
packwisely_setting_nhx_compat_tt,ui,UI,,x,Shows whether Packwisely detected NHX BagsAndBackpacks and adjusted the backpack button spacing.,,"Zeigt, ob Packwisely NHX BagsAndBackpacks erkannt und den Abstand der Rucksackknöpfe angepasst hat.",Muestra si Packwisely detectó NHX BagsAndBackpacks y ajustó el espacio del botón de mochila.,Indique si Packwisely a détecté NHX BagsAndBackpacks et ajusté l’espacement du bouton de sac.,Mostra se Packwisely ha rilevato NHX BagsAndBackpacks e regolato la spaziatura del pulsante zaino.,Packwisely が NHX BagsAndBackpacks を検出し、バックパックボタンの間隔を調整したかを表示します。,Packwisely가 NHX BagsAndBackpacks를 감지하고 배낭 버튼 간격을 조정했는지 표시합니다.,"Pokazuje, czy Packwisely wykrył NHX BagsAndBackpacks i dostosował odstęp przycisku plecaka.",Mostra se o Packwisely detectou NHX BagsAndBackpacks e ajustou o espaçamento do botão da mochila.,"Показывает, обнаружил ли Packwisely NHX BagsAndBackpacks и скорректировал расстояние кнопок рюкзака.",Packwisely’nin NHX BagsAndBackpacks’i algılayıp çanta düğmesi aralığını ayarlayıp ayarlamadığını gösterir.,显示 Packwisely 是否检测到 NHX BagsAndBackpacks 并调整背包按钮间距。,顯示 Packwisely 是否偵測到 NHX BagsAndBackpacks 並調整背包按鈕間距。
packwisely_known_compat_nhx_on,ui,UI,,x,NHX BagsAndBackpacks detected — button spacing compatibility on,,NHX BagsAndBackpacks erkannt — Button-Abstand angepasst,NHX BagsAndBackpacks detectado — compatibilidad de espaciado de botones activa,NHX BagsAndBackpacks détecté — espacement des boutons ajusté,NHX BagsAndBackpacks rilevato — spaziatura pulsanti attiva,NHX BagsAndBackpacks 検出 — ボタン間隔互換性オン,NHX BagsAndBackpacks 감지 — 버튼 간격 호환성 켜짐,Wykryto NHX BagsAndBackpacks — zgodność odstępów przycisków włączona,NHX BagsAndBackpacks detectado — espaçamento de botões ativo,NHX BagsAndBackpacks обнаружен — совместимость расстояния кнопок включена,NHX BagsAndBackpacks algılandı — düğme aralığı uyumluluğu açık,检测到 NHX BagsAndBackpacks — 按钮间距兼容已开启,偵測到 NHX BagsAndBackpacks — 按鈕間距相容性已開啟
packwisely_known_compat_nhx_off,ui,UI,,x,NHX BagsAndBackpacks: not detected,,NHX BagsAndBackpacks: nicht erkannt,NHX BagsAndBackpacks: no detectado,NHX BagsAndBackpacks : non détecté,NHX BagsAndBackpacks: non rilevato,NHX BagsAndBackpacks: 未検出,NHX BagsAndBackpacks: 감지 안 됨,NHX BagsAndBackpacks: nie wykryto,NHX BagsAndBackpacks: não detectado,NHX BagsAndBackpacks: не обнаружен,NHX BagsAndBackpacks: algılanmadı,NHX BagsAndBackpacks：未检测到,NHX BagsAndBackpacks：未偵測到
packwisely_setting_beyondstorage_compat,ui,UI,,x,Beyond Storage 2 compatibility,,Beyond Storage 2-Kompatibilität,Compatibilidad con Beyond Storage 2,Compatibilité Beyond Storage 2,Compatibilità Beyond Storage 2,Beyond Storage 2 互換性,Beyond Storage 2 호환성,Zgodność z Beyond Storage 2,Compatibilidade com Beyond Storage 2,Совместимость с Beyond Storage 2,Beyond Storage 2 uyumluluğu,Beyond Storage 2 兼容性,Beyond Storage 2 相容性
packwisely_setting_beyondstorage_compat_tt,ui,UI,,x,Shows whether Packwisely detected Beyond Storage 2 and enabled the reload compatibility bridge.,,"Zeigt, ob Packwisely Beyond Storage 2 erkannt und die Nachlade-Kompatibilitätsbrücke aktiviert hat.",Muestra si Packwisely detectó Beyond Storage 2 y activó el puente de compatibilidad de recarga.,Indique si Packwisely a détecté Beyond Storage 2 et activé le pont de compatibilité de rechargement.,Mostra se Packwisely ha rilevato Beyond Storage 2 e attivato il ponte di compatibilità della ricarica.,Packwisely が Beyond Storage 2 を検出し、リロード互換ブリッジを有効化したかを表示します。,Packwisely가 Beyond Storage 2를 감지하고 재장전 호환 브리지를 켰는지 표시합니다.,"Pokazuje, czy Packwisely wykrył Beyond Storage 2 i włączył most zgodności przeładowania.",Mostra se o Packwisely detectou Beyond Storage 2 e ativou a ponte de compatibilidade de recarga.,"Показывает, обнаружил ли Packwisely Beyond Storage 2 и включил мост совместимости перезарядки.",Packwisely’nin Beyond Storage 2’yi algılayıp yeniden doldurma uyumluluk köprüsünü açıp açmadığını gösterir.,显示 Packwisely 是否检测到 Beyond Storage 2 并启用装填兼容桥接。,顯示 Packwisely 是否偵測到 Beyond Storage 2 並啟用裝填相容橋接。
packwisely_known_compat_beyondstorage_on,ui,UI,,x,Beyond Storage 2 detected — reload compatibility bridge on,,Beyond Storage 2 erkannt — Nachlade-Kompatibilitätsbrücke aktiv,Beyond Storage 2 detectado — puente de recarga activo,Beyond Storage 2 détecté — pont de rechargement actif,Beyond Storage 2 rilevato — ponte ricarica attivo,Beyond Storage 2 検出 — リロード互換ブリッジオン,Beyond Storage 2 감지 — 재장전 호환 브리지 켜짐,Wykryto Beyond Storage 2 — most przeładowania włączony,Beyond Storage 2 detectado — ponte de recarga ativa,Beyond Storage 2 обнаружен — мост перезарядки включён,Beyond Storage 2 algılandı — yeniden doldurma köprüsü açık,检测到 Beyond Storage 2 — 装填兼容桥接已开启,偵測到 Beyond Storage 2 — 裝填相容橋接已開啟
packwisely_known_compat_beyondstorage_off,ui,UI,,x,Beyond Storage 2: not detected,,Beyond Storage 2: nicht erkannt,Beyond Storage 2: no detectado,Beyond Storage 2 : non détecté,Beyond Storage 2: non rilevato,Beyond Storage 2: 未検出,Beyond Storage 2: 감지 안 됨,Beyond Storage 2: nie wykryto,Beyond Storage 2: não detectado,Beyond Storage 2: не обнаружен,Beyond Storage 2: algılanmadı,Beyond Storage 2：未检测到,Beyond Storage 2：未偵測到
packwisely_setting_catui_compat,ui,UI,,x,CATUI compatibility,,CATUI-Kompatibilität,Compatibilidad con CATUI,Compatibilité CATUI,Compatibilità CATUI,CATUI 互換性,CATUI 호환성,Zgodność z CATUI,Compatibilidade com CATUI,Совместимость с CATUI,CATUI uyumluluğu,CATUI 兼容性,CATUI 相容性
packwisely_setting_catui_compat_tt,ui,UI,,x,Shows whether Packwisely detected CATUI and kept pouch buttons in the CATUI-safe backpack UI position.,,Zeigt ob Packwisely CATUI erkannt und die Taschenknöpfe an der CATUI-sicheren Rucksackposition belassen hat.,Muestra si Packwisely detectó CATUI y mantuvo los botones de bolsa en una posición segura para CATUI.,Indique si Packwisely a détecté CATUI et gardé les boutons de poche dans une position sûre pour CATUI.,Mostra se Packwisely ha rilevato CATUI e mantenuto i pulsanti delle tasche in una posizione sicura per CATUI.,Packwisely が CATUI を検出し ポーチボタンを CATUI 用の安全なバックパックUI位置に維持したかを表示します。,Packwisely가 CATUI를 감지하고 파우치 버튼을 CATUI에 안전한 배낭 UI 위치에 유지했는지 표시합니다.,Pokazuje czy Packwisely wykrył CATUI i zostawił przyciski zasobników w bezpiecznym miejscu UI dla CATUI.,Mostra se o Packwisely detectou CATUI e manteve os botões das bolsas em uma posição segura para CATUI.,Показывает обнаружил ли Packwisely CATUI и оставил кнопки подсумков в безопасном для CATUI месте интерфейса.,Packwisely’nin CATUI’ı algılayıp cep düğmelerini CATUI için güvenli çanta arayüzü konumunda tutup tutmadığını gösterir.,显示 Packwisely 是否检测到 CATUI 并将包具按钮保持在适合 CATUI 的安全背包界面位置。,顯示 Packwisely 是否偵測到 CATUI 並將包具按鈕維持在適合 CATUI 的安全背包介面位置。
packwisely_known_compat_catui_on,ui,UI,,x,CATUI detected — UI compatibility on,,CATUI erkannt — UI-Kompatibilität aktiv,CATUI detectado — compatibilidad de interfaz activa,CATUI détecté — compatibilité UI active,CATUI rilevato — compatibilità UI attiva,CATUI 検出 — UI互換性オン,CATUI 감지 — UI 호환성 켜짐,Wykryto CATUI — zgodność UI włączona,CATUI detectado — compatibilidade da interface ativa,CATUI обнаружен — совместимость интерфейса включена,CATUI algılandı — arayüz uyumluluğu açık,检测到 CATUI — 界面兼容已开启,偵測到 CATUI — 介面相容性已開啟
packwisely_known_compat_catui_off,ui,UI,,x,CATUI: not detected,,CATUI: nicht erkannt,CATUI: no detectado,CATUI : non détecté,CATUI: non rilevato,CATUI: 未検出,CATUI: 감지 안 됨,CATUI: nie wykryto,CATUI: não detectado,CATUI: не обнаружен,CATUI: algılanmadı,CATUI：未检测到,CATUI：未偵測到
packwisely_setting_steelui_compat,ui,UI,,x,SteelUI compatibility,,SteelUI-Kompatibilität,Compatibilidad con SteelUI,Compatibilité SteelUI,Compatibilità SteelUI,SteelUI 互換性,SteelUI 호환성,Zgodność ze SteelUI,Compatibilidade com SteelUI,Совместимость со SteelUI,SteelUI uyumluluğu,SteelUI 兼容性,SteelUI 相容性
packwisely_setting_steelui_compat_tt,ui,UI,,x,Shows whether Packwisely detected SteelUI and moved pouch and scrap controls to safe UI positions.,,Zeigt ob Packwisely SteelUI erkannt und Taschen- sowie Schrott-Schaltflächen an sichere UI-Positionen verschoben hat.,Muestra si Packwisely detectó SteelUI y movió los controles de bolsas y chatarra a posiciones seguras.,Indique si Packwisely a détecté SteelUI et déplacé les contrôles de poche et de rebut vers des positions sûres.,Mostra se Packwisely ha rilevato SteelUI e spostato i controlli di tasche e rottami in posizioni sicure.,Packwisely が SteelUI を検出し ポーチと解体操作を安全なUI位置へ移動したかを表示します。,Packwisely가 SteelUI를 감지하고 파우치 및 분해 컨트롤을 안전한 UI 위치로 옮겼는지 표시합니다.,Pokazuje czy Packwisely wykrył SteelUI i przeniósł przyciski zasobników oraz złomu w bezpieczne miejsca UI.,Mostra se o Packwisely detectou SteelUI e moveu os controles de bolsas e sucata para posições seguras.,Показывает обнаружил ли Packwisely SteelUI и перенёс кнопки подсумков и разбора в безопасные места интерфейса.,Packwisely’nin SteelUI’ı algılayıp cep ve hurda düğmelerini güvenli arayüz konumlarına taşıyıp taşımadığını gösterir.,显示 Packwisely 是否检测到 SteelUI 并将包具和拆解控件移动到安全的界面位置。,顯示 Packwisely 是否偵測到 SteelUI 並將包具和拆解控制項移到安全的介面位置。
packwisely_known_compat_steelui_on,ui,UI,,x,SteelUI detected — UI compatibility on,,SteelUI erkannt — UI-Kompatibilität aktiv,SteelUI detectado — compatibilidad de interfaz activa,SteelUI détecté — compatibilité UI active,SteelUI rilevato — compatibilità UI attiva,SteelUI 検出 — UI互換性オン,SteelUI 감지 — UI 호환성 켜짐,Wykryto SteelUI — zgodność UI włączona,SteelUI detectado — compatibilidade da interface ativa,SteelUI обнаружен — совместимость интерфейса включена,SteelUI algılandı — arayüz uyumluluğu açık,检测到 SteelUI — 界面兼容已开启,偵測到 SteelUI — 介面相容性已開啟
packwisely_known_compat_steelui_off,ui,UI,,x,SteelUI: not detected,,SteelUI: nicht erkannt,SteelUI: no detectado,SteelUI : non détecté,SteelUI: non rilevato,SteelUI: 未検出,SteelUI: 감지 안 됨,SteelUI: nie wykryto,SteelUI: não detectado,SteelUI: не обнаружен,SteelUI: algılanmadı,SteelUI：未检测到,SteelUI：未偵測到

# ==================================================================================================
# LOADING SCREEN TIPS
# Loading screen tip body text and title rows.
# The title keys are looked up as the tip key plus _title by the game loading screen.
# ==================================================================================================
